Head,Body,Arms,Waist,Legs,Charm,Attack Boost,Coalescence,Constitution,Dragon Attack,Earplugs,Free Meal,Health Boost,Maximum Might,Partbreaker,Peak Performance,Quick Sheath,Recovery Speed,Recovery Up,Sleep Attack,Sleep Resistance,Speed Eating,Thunder Attack,Weakness Exploit,Wide-range,Lvl 1 Decoration Slot,Lvl 2 Decoration Slot,Lvl 3 Decoration Slot,Lvl 4 Decoration Slot,Defence
Astral Veil Alpha +,Fellshroud Mail Beta +,Fellshroud Braces Beta +,Fellshroud Coil Beta +,Tigrex Greaves Beta +,Health Charm III,0,0,0,1,0,0,3,0,0,0,0,2,2,0,0,3,0,0,3,2,3,0,5,750
Astral Veil Alpha +,Lumu Phantasm Mail Beta +,Fellshroud Braces Alpha +,Shara Ishvalda Coil Health +,Tigrex Greaves Alpha +,Speed Heal Charm III,0,0,0,0,0,1,2,0,0,0,0,3,2,0,0,2,0,0,5,4,1,2,3,732
Astral Veil Alpha +,Shara Ishvalda Mail Alpha +,Fellshroud Braces Alpha +,Fellshroud Coil Beta +,Oolong Boots Alpha +,Speed Heal Charm III,0,2,0,0,0,0,3,0,0,0,0,3,2,0,0,3,0,0,3,2,4,1,3,734
Lumu Phantasm Hood Alpha +,Fellshroud Mail Beta +,Fellshroud Braces Alpha +,Fellshroud Coil Beta +,Oolong Boots Alpha +,Friendship Charm III,0,0,0,1,0,0,2,0,0,0,0,2,2,0,0,3,0,1,4,4,4,0,3,720
Astral Veil Alpha +,Fellshroud Mail Beta +,Fellshroud Braces Beta +,Fellshroud Coil Alpha +,Tigrex Greaves Alpha +,Health Charm III,0,0,0,1,0,1,3,0,0,1,0,2,2,0,0,3,0,0,3,4,2,1,3,750
Astral Veil Alpha +,Fellshroud Mail Alpha +,Fellshroud Braces Beta +,Fellshroud Coil Beta +,Tigrex Greaves Beta +,Health Charm III,0,0,0,2,0,0,3,0,0,0,0,2,2,0,0,3,0,0,3,3,2,1,4,750
Astral Veil Alpha +,Lumu Phantasm Mail Beta +,Fellshroud Braces Beta +,Shara Ishvalda Coil Alpha +,Tigrex Greaves Alpha +,Speed Heal Charm III,0,0,0,0,0,1,2,0,0,0,0,3,3,0,0,1,0,0,5,4,1,2,3,732
Astral Veil Alpha +,Fellshroud Mail Beta +,Fellshroud Braces Alpha +,Fellshroud Coil Beta +,Lumu Phantasm Greaves Alpha +,Health Charm III,0,0,0,1,0,0,3,0,0,0,0,2,2,0,2,3,0,0,4,2,3,1,3,740
Lumu Phantasm Hood Alpha +,Fellshroud Mail Alpha +,Fellshroud Braces Alpha +,Fellshroud Coil Beta +,Oolong Boots Alpha +,Friendship Charm III,0,0,0,2,0,0,2,0,0,0,0,2,2,0,0,3,0,1,4,5,3,1,2,720
Shara Ishvalda Helm Beta +,Lumu Phantasm Mail Beta +,Ingot Vambraces Alpha +,Fellshroud Coil Beta +,Tigrex Greaves Alpha +,Friendship Charm III,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,3,2,0,5,3,3,1,3,728
Lumu Phantasm Hood Alpha +,Shara Ishvalda Mail Alpha +,Fellshroud Braces Alpha +,Fellshroud Coil Beta +,Oolong Boots Alpha +,Friendship Charm III,0,2,0,0,0,0,3,0,0,0,0,0,2,0,0,3,0,1,4,4,4,1,2,726
Astral Veil Alpha +,Fellshroud Mail Alpha +,Fellshroud Braces Beta +,Fellshroud Coil Alpha +,Tigrex Greaves Alpha +,Health Charm III,0,0,0,2,0,1,3,0,0,1,0,2,2,0,0,3,0,0,3,5,1,2,2,750
Astral Veil Alpha +,Lumu Phantasm Mail Beta +,Fellshroud Braces Alpha +,Shara Ishvalda Coil Health +,Tigrex Greaves Beta +,Speed Heal Charm III,0,0,0,0,0,0,2,0,0,0,0,3,2,0,0,2,0,0,5,3,2,1,4,732
Astral Veil Alpha +,Lumu Phantasm Mail Beta +,Fellshroud Braces Beta +,Fellshroud Coil Alpha +,Oolong Boots Alpha +,Speed Heal Charm III,0,0,0,0,0,0,2,0,0,1,0,3,2,0,0,2,0,0,5,4,2,0,4,704
Astral Veil Alpha +,Shara Ishvalda Mail Alpha +,Fellshroud Braces Alpha +,Shara Ishvalda Coil Alpha +,Tigrex Greaves Alpha +,Speed Heal Charm III,0,2,0,0,0,1,3,0,0,0,0,3,3,0,0,2,0,0,3,3,3,3,1,762
Astral Veil Alpha +,Fellshroud Mail Beta +,Fellshroud Braces Beta +,Shara Ishvalda Coil Alpha +,Lumu Phantasm Greaves Alpha +,Glutton’s Charm III,0,0,0,1,0,0,2,0,0,0,0,2,3,0,2,3,0,0,4,2,2,2,3,746
Lumu Phantasm Hood Alpha +,Fellshroud Mail Beta +,Fellshroud Braces Alpha +,Shara Ishvalda Coil Alpha +,Tigrex Greaves Alpha +,Friendship Charm III,0,0,0,1,0,1,2,0,0,0,0,2,3,0,0,2,0,1,4,5,3,2,1,748
Astral Veil Alpha +,Fellshroud Mail Beta +,Fellshroud Braces Beta +,Fellshroud Coil Alpha +,Tigrex Greaves Beta +,Health Charm III,0,0,0,1,0,0,3,0,0,1,0,2,2,0,0,3,0,0,3,3,3,0,4,750
Astral Veil Alpha +,Lumu Phantasm Mail Beta +,Fellshroud Braces Beta +,Tigrex Tassets Alpha +,Oolong Boots Alpha +,Glutton’s Charm III,0,0,0,0,1,1,2,0,0,0,0,0,2,0,0,3,0,0,5,4,1,1,4,690
